observed_item_name,canonical_key,evidence_source,evidence_date,generated_buddy_slug,candidate_buddy_url,alternate_buddy_slug,confirmed_buddy_slug,buddy_confirmation_status,farmrpg_item_id,mastery_confirmation_status,recipe_review_status,recipe_mastery_hint,source_review_status,icon_asset_url,icon_review_status,notes
Deep Ocean Ring,deep ocean ring,user screenshots + user report,2026-08-31,deep-ocean-ring,https://buddy.farm/i/deep-ocean-ring/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Embershard Ring,embershard ring,user screenshots + user report,2026-08-31,embershard-ring,https://buddy.farm/i/embershard-ring/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Embershard Staff,embershard staff,user screenshots + user report,2026-08-31,embershard-staff,https://buddy.farm/i/embershard-staff/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Esperium Band,esperium band,user screenshots + user report,2026-08-31,esperium-band,https://buddy.farm/i/esperium-band/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Fairy Ring,fairy ring,user screenshots + user report,2026-08-31,fairy-ring,https://buddy.farm/i/fairy-ring/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown twice in the supplied screenshots and deduplicated here; hold outside canonical data until official reference evidence is available.
Flarite Ring,flarite ring,user screenshots + user report,2026-08-31,flarite-ring,https://buddy.farm/i/flarite-ring/,,,awaiting_official,,unknown,user_reports_no_recipe_yet,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; hold outside canonical data until official reference evidence is available.
Garnet Walking Stick,garnet walking stick,user screenshots + user report,2026-08-31,garnet-walking-stick,https://buddy.farm/i/garnet-walking-stick/,,,awaiting_official,,unknown,user_reports_recipes_available_pending_capture,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; user reports recipes are now available but recipe details remain pending capture and review.
Green Halite Earrings,green halite earrings,user screenshots + user report,2026-08-31,green-halite-earrings,https://buddy.farm/i/green-halite-earrings/,,,awaiting_official,,unknown,user_reports_recipes_available_pending_capture,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; user reports recipes are now available but recipe details remain pending capture and review.
Green Halite Ring,green halite ring,user screenshots + user report,2026-08-31,green-halite-ring,https://buddy.farm/i/green-halite-ring/,,,awaiting_official,,unknown,user_reports_recipes_available_pending_capture,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; user reports recipes are now available but recipe details remain pending capture and review.
Horn Powder,horn powder,user screenshots + user report,2026-08-31,horn-powder,https://buddy.farm/i/horn-powder/,,,awaiting_official,,unknown,user_reports_recipes_available_pending_capture,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; user reports recipes are now available but recipe details remain pending capture and review.
Joyful Ring,joyful ring,user screenshots + user report,2026-08-31,joyful-ring,https://buddy.farm/i/joyful-ring/,,,awaiting_official,,unknown,user_reports_recipes_available_pending_capture,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; user reports recipes are now available but recipe details remain pending capture and review.
Ornate Anvil,ornate anvil,user screenshots + user report,2026-08-31,ornate-anvil,https://buddy.farm/i/ornate-anvil/,,,awaiting_official,,unknown,user_reports_recipes_available_pending_capture,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; user reports recipes are now available but recipe details remain pending capture and review.
Ornate Flarite Ring,ornate flarite ring,user screenshots + user report,2026-08-31,ornate-flarite-ring,https://buddy.farm/i/ornate-flarite-ring/,,,awaiting_official,,unknown,user_reports_recipes_available_pending_capture,unknown,awaiting_official,,screenshot_only,New item shown in the supplied screenshots; user reports recipes are now available but recipe details remain pending capture and review.
Peridot,peridot,user screenshots + user report,2026-08-31,peridot,https://buddy.farm/i/peridot/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Pestle and Mortar,pestle and mortar,user screenshots + user report,2026-08-31,pestle-and-mortar,https://buddy.farm/i/pestle-and-mortar/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Pinecone Bird Feeder,pinecone bird feeder,user screenshots + user report,2026-08-31,pinecone-bird-feeder,https://buddy.farm/i/pinecone-bird-feeder/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Plum Goblet,plum goblet,user screenshots + user report,2026-08-31,plum-goblet,https://buddy.farm/i/plum-goblet/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Plum Iron,plum iron,user screenshots + user report,2026-08-31,plum-iron,https://buddy.farm/i/plum-iron/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Tin Goblet,tin goblet,user screenshots + user report,2026-08-31,tin-goblet,https://buddy.farm/i/tin-goblet/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,"New item and recipe captured from the supplied screenshot. The displayed 10,712 Stone and 10,712 Tin Scraps are totals for 2,678 crafts, normalized to 4 of each input per craft; hold outside canonical data pending review."
Sunstone Ring,sunstone ring,user screenshots + user clarification,2026-08-31,sunstone-ring,https://buddy.farm/i/sunstone-ring/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Strong Wire,strong wire,user screenshots + user clarification,2026-08-31,strong-wire,https://buddy.farm/i/strong-wire/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,"New item and recipe captured from the supplied screenshot. Displayed requirements were totals for 10,541 crafts and were normalized to one craft; hold outside canonical data pending review."
Stained Glass Art,stained glass art,user screenshots + user clarification,2026-08-31,stained-glass-art,https://buddy.farm/i/stained-glass-art/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Shining Farrings,shining farrings,user screenshots + user clarification,2026-08-31,shining-farrings,https://buddy.farm/i/shining-farrings/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item name preserved exactly as shown in the supplied screenshot; one-craft recipe quantities captured and held outside canonical data pending review.
Redbrook Patch,redbrook patch,user screenshots + user clarification,2026-08-31,redbrook-patch,https://buddy.farm/i/redbrook-patch/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Refined Esperium,refined esperium,user screenshots + user clarification,2026-08-31,refined-esperium,https://buddy.farm/i/refined-esperium/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,"New item and recipe captured from the supplied screenshot. Displayed requirements were totals for 38 crafts and were normalized to one craft; hold outside canonical data pending review."
Refined Plum Ore,refined plum ore,user screenshots + user clarification,2026-08-31,refined-plum-ore,https://buddy.farm/i/refined-plum-ore/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,"New item and recipe captured from the supplied screenshot. Displayed requirements were totals for 38 crafts and were normalized to one craft; hold outside canonical data pending review."
Reforged Sword,reforged sword,user screenshots + user clarification,2026-08-31,reforged-sword,https://buddy.farm/i/reforged-sword/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Quench,quench,user screenshots + user clarification,2026-08-31,quench,https://buddy.farm/i/quench/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
Potion of Clarity,potion of clarity,user screenshots + user clarification,2026-08-31,potion-of-clarity,https://buddy.farm/i/potion-of-clarity/,,,awaiting_official,,unknown,screenshot_recipe_normalized_pending_review,unknown,awaiting_official,,screenshot_only,New item and one-craft recipe quantities captured from the supplied screenshot; hold outside canonical data pending review.
