observed_item_name,canonical_key,owned_quantity,derived_craft_quantity,mastery_confirmation_status,evidence_source,evidence_date,review_status,notes
Bamboo Fence,bamboo fence,3722,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Bamboo Trellis,bamboo trellis,22407,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Barbed Wire,barbed wire,19157,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Basic Pillow,basic pillow,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Black Bag,black bag,21003,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Black Cloak,black cloak,790,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Black Dye,black dye,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Black Purse,black purse,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Black Scarf,black scarf,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Black Shield,black shield,27357,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Black Shirt,black shirt,1059,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Black Twine,black twine,31076,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Blue Diary,blue diary,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Blue Shirt,blue shirt,732,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Board,board,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Bone Pickaxe,bone pickaxe,24213,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Bottle Rocket,bottle rocket,32103,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Bouquet of Flowers,bouquet of flowers,17165,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Bright Lantern,bright lantern,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Brown Cloak,brown cloak,30636,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Brown Dye,brown dye,25828,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Calmine Composite,calmine composite,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Calmine Lotion,calmine lotion,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Calmine Statue,calmine statue,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Canoe,canoe,29890,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Chisel,chisel,15278,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Coin Purse,coin purse,20400,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Condensed Gravicite,condensed gravicite,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Cooking Pot,cooking pot,18654,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Crown of Clover,crown of clover,31129,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Deep Ocean Ring,deep ocean ring,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Embershard Ring,embershard ring,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Embershard Staff,embershard staff,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Emerald,emerald,32051,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Energy Coil,energy coil,20512,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Engine,engine,3099,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Esperium Band,esperium band,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Essence of Slime,essence of slime,32160,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fairy Ring,fairy ring,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fancy Chair,fancy chair,4674,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fancy Clock,fancy clock,17,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fancy Drum,fancy drum,30419,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fancy Guitar,fancy guitar,32064,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fancy Pan Flute,fancy pan flute,29701,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fancy Pillow,fancy pillow,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Fancy Violin,fancy violin,31339,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Gainite,gainite,48,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Garnet Walking Stick,garnet walking stick,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Gazebo,gazebo,29535,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Glass Jar,glass jar,31896,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Glowing Lantern,glowing lantern,14257,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Gold Aquamarine Ring,gold aquamarine ring,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Gold Diamond Ring,gold diamond ring,17074,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Gold Emerald Ring,gold emerald ring,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Gold Garnet Ring,gold garnet ring,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Gold Jade Ring,gold jade ring,26903,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Gold Lemon Quartz Ring,gold lemon quartz ring,22928,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Gold Ruby Ring,gold ruby ring,32063,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Grand Piano,grand piano,8041,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Grape Juice,grape juice,30010,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Green Diary,green diary,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Green Dye,green dye,28143,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Green Parchment,green parchment,22081,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Green Shirt,green shirt,1314,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Horn Canteen,horn canteen,14525,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Horn Powder,horn powder,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Hourglass,hourglass,31853,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Joyful Ring,joyful ring,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Kill Switch,kill switch,14891,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Lantern,lantern,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Leather Bag,leather bag,14480,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Leather Belt,leather belt,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Leather Diary,leather diary,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Leather Helmet,leather helmet,31349,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Leather Waterskin,leather waterskin,29710,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Looking Glass,looking glass,32160,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Magicite,magicite,26728,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Magna Core,magna core,60,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Magnifying Glass,magnifying glass,32160,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Metal Spool,metal spool,16671,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Monarch Butterfly,monarch butterfly,1,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Mystic Ring,mystic ring,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Oak Table,oak table,43,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Ornate Anvil,ornate anvil,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Ornate Flarite Ring,ornate flarite ring,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Pear Grease,pear grease,3453,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Peridot,peridot,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Pie Pan,pie pan,19748,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Pine Shavings,pine shavings,10599,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Pinecone Bird Feeder,pinecone bird feeder,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Pitchfork,pitchfork,17260,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Plum Goblet,plum goblet,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Plum Iron,plum iron,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Potato Battery,potato battery,22408,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Propeller Hat,propeller hat,5142,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Purple Bag,purple bag,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Purple Diary,purple diary,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Purple Dye,purple dye,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
