item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,probe_status,http_status,final_url,page_title,attempts,flags,notes
Skull-in-the-box,skull-in-the-box,skull-in-the-box,https://buddy.farm/i/skull-in-the-box/,found,200,https://buddy.farm/i/skull-in-the-box/,Skull-in-the-box,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Baba Gec's Cabbage Stew,baba gec's cabbage stew,baba-gecs-cabbage-stew,https://buddy.farm/i/baba-gecs-cabbage-stew/,not_found,404,https://buddy.farm/i/baba-gecs-cabbage-stew/,,1,,
Baba's Snack Pack,baba's snack pack,babas-snack-pack,https://buddy.farm/i/babas-snack-pack/,not_found,404,https://buddy.farm/i/babas-snack-pack/,,1,,
Beatrix's Big Box of Boom,beatrix's big box of boom,beatrixs-big-box-of-boom,https://buddy.farm/i/beatrixs-big-box-of-boom/,not_found,404,https://buddy.farm/i/beatrixs-big-box-of-boom/,,1,,
Beatrix's Booming Brawl Box 01,beatrix's booming brawl box 01,beatrixs-booming-brawl-box-01,https://buddy.farm/i/beatrixs-booming-brawl-box-01/,not_found,404,https://buddy.farm/i/beatrixs-booming-brawl-box-01/,,1,,
Beatrix's Booming Brawl Box 02,beatrix's booming brawl box 02,beatrixs-booming-brawl-box-02,https://buddy.farm/i/beatrixs-booming-brawl-box-02/,not_found,404,https://buddy.farm/i/beatrixs-booming-brawl-box-02/,,1,,
R.O.A.S.,r.o.a.s.,roas,https://buddy.farm/i/roas/,not_found,404,https://buddy.farm/i/roas/,,1,,
10 Gold,10 gold,10-gold,https://buddy.farm/i/10-gold/,found,200,https://buddy.farm/i/10-gold/,10 Gold,1,,
100 Gold,100 gold,100-gold,https://buddy.farm/i/100-gold/,found,200,https://buddy.farm/i/100-gold/,100 Gold,1,,
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,found,200,https://buddy.farm/i/11th-leaf-centerpiece/,11th Leaf Centerpiece,1,,
25 Gold,25 gold,25-gold,https://buddy.farm/i/25-gold/,found,200,https://buddy.farm/i/25-gold/,25 Gold,1,,
