quest_key,requirement_type,item_name,canonical_key,quantity,source_url,notes
daily dairy iii,item,Pitchfork,pitchfork,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Step Ladder,step ladder,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Rucksack,rucksack,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Butter Churn,butter churn,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Wooden Barrel,wooden barrel,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Pear Grease,pear grease,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Steel Vise,steel vise,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Grand Piano,grand piano,2500,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Fancy Clock,fancy clock,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Glowing Lantern,glowing lantern,5000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Wooden Footstool,wooden footstool,15000,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iv,item,Wooden Plank,wooden plank,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Board,board,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Steel,steel,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Ladder,ladder,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Rope,rope,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Nailed Board,nailed board,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Wrench,wrench,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Hammer,hammer,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Handsaw,handsaw,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Bucket,bucket,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Block of Wood,block of wood,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Scissors,scissors,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Barbed Wire,barbed wire,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Steel Wire,steel wire,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Metal Spool,metal spool,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Wood,wood,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Glowing Lantern,glowing lantern,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Bamboo Fence,bamboo fence,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy v,item,Rope,rope,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Linked Lantern,linked lantern,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Pine Shavings,pine shavings,7500,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Bucket,bucket,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Leather Bag,leather bag,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Feed,feed,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Silk,silk,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Veggie Juice,veggie juice,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Horseshoe,horseshoe,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Pair of Boots,pair of boots,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Pair of Gold Boots,pair of gold boots,25,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Sugar Cube,sugar cube,2500,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Apple,apple,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Glowing Lantern,glowing lantern,15000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy vii,item,Bacon,bacon,15000,https://buddy.farm/q/daily-dairy-vii/,BL-339 bounded August questline verification.
fun underground now i,item,Ladder,ladder,50,https://buddy.farm/q/fun-underground-now-i/,BL-339 bounded August questline verification.
fun underground now ii,item,Protein Bar,protein bar,1,https://buddy.farm/q/fun-underground-now-ii/,BL-339 bounded August questline verification.
fun underground now iii,item,Lemonade,lemonade,10,https://buddy.farm/q/fun-underground-now-iii/,BL-339 bounded August questline verification.
fun underground now iv,item,Wax Candle,wax candle,3,https://buddy.farm/q/fun-underground-now-iv/,BL-339 bounded August questline verification.
dig in i,item,Esperium,esperium,1,https://buddy.farm/q/dig-in-i/,BL-339 bounded August questline verification.
dig in ii,item,Briomine,briomine,1,https://buddy.farm/q/dig-in-ii/,BL-339 bounded August questline verification.
dig in iii,item,Green Halite,green halite,1,https://buddy.farm/q/dig-in-iii/,BL-339 bounded August questline verification.
sprung forth i,item,Esperium,esperium,10,https://buddy.farm/q/sprung-forth-i/,BL-339 bounded August questline verification.
sprung forth i,item,Calcifite,calcifite,5,https://buddy.farm/q/sprung-forth-i/,BL-339 bounded August questline verification.
sprung forth ii,item,Green Halite,green halite,10,https://buddy.farm/q/sprung-forth-ii/,BL-339 bounded August questline verification.
sprung forth ii,item,Bone Fragments,bone fragments,1,https://buddy.farm/q/sprung-forth-ii/,BL-339 bounded August questline verification.
sprung forth iii,item,Briomine,briomine,40,https://buddy.farm/q/sprung-forth-iii/,BL-339 bounded August questline verification.
sprung forth iii,item,Unpolished Aquacite,unpolished aquacite,5,https://buddy.farm/q/sprung-forth-iii/,BL-339 bounded August questline verification.
sprung forth iv,item,Bone Fragments,bone fragments,10,https://buddy.farm/q/sprung-forth-iv/,BL-339 bounded August questline verification.
sprung forth iv,item,Cave Mushroom,cave mushroom,5,https://buddy.farm/q/sprung-forth-iv/,BL-339 bounded August questline verification.
sprung forth v,item,Fossilized Print,fossilized print,1,https://buddy.farm/q/sprung-forth-v/,BL-339 bounded August questline verification.
sprung forth v,item,Bird Skull 01,bird skull 01,1,https://buddy.farm/q/sprung-forth-v/,BL-339 bounded August questline verification.
power play i,item,Esperium,esperium,100,https://buddy.farm/q/power-play-i/,BL-339 bounded August questline verification.
power play i,item,Wooden Box,wooden box,1,https://buddy.farm/q/power-play-i/,BL-339 bounded August questline verification.
power play ii,item,Esperium,esperium,100,https://buddy.farm/q/power-play-ii/,BL-339 bounded August questline verification.
power play ii,item,Wooden Box,wooden box,1,https://buddy.farm/q/power-play-ii/,BL-339 bounded August questline verification.
power play iii,item,Esperium,esperium,100,https://buddy.farm/q/power-play-iii/,BL-339 bounded August questline verification.
power play iii,item,Wooden Box,wooden box,1,https://buddy.farm/q/power-play-iii/,BL-339 bounded August questline verification.
power play iv,item,Esperium,esperium,200,https://buddy.farm/q/power-play-iv/,BL-339 bounded August questline verification.
power play iv,item,Wooden Box,wooden box,2,https://buddy.farm/q/power-play-iv/,BL-339 bounded August questline verification.
power play v,item,Esperium,esperium,200,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Wooden Box,wooden box,2,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Runestone 18,runestone 18,1,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Runestone 12,runestone 12,1,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Runestone 15,runestone 15,1,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Runestone 03,runestone 03,1,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Runestone 08,runestone 08,1,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Runestone 02,runestone 02,1,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play vi,item,Esperium,esperium,200,https://buddy.farm/q/power-play-vi/,BL-339 bounded August questline verification.
power play vi,item,Wooden Box,wooden box,2,https://buddy.farm/q/power-play-vi/,BL-339 bounded August questline verification.
power play vii,item,Esperium,esperium,400,https://buddy.farm/q/power-play-vii/,BL-339 bounded August questline verification.
power play vii,item,Wooden Box,wooden box,4,https://buddy.farm/q/power-play-vii/,BL-339 bounded August questline verification.
