"questline_key","questline_name","quest_count_from_item_cache","slug"
"buddy doll mixup","Buddy Doll Mixup","1","buddy-doll-mixup"
"buddy found","Buddy Found","1","buddy-found"
"buddy of friendship","Buddy of Friendship","1","buddy-of-friendship"
"buddy rabbit","Buddy Rabbit","9","buddy-rabbit"
"buddy's christmas adventure","Buddy's Christmas Adventure","11","buddys-christmas-adventure"
"buddy's school shenanigans","Buddy's School Shenanigans","10","buddys-school-shenanigans"
"bug exporter enterprise","Bug Exporter Enterprise","9","bug-exporter-enterprise"
"bug life","Bug Life","1","bug-life"
"business is blooming","Business Is Blooming","9","business-is-blooming"
"bust a ghost","Bust A Ghost","1","bust-a-ghost"
"but are you sure?","But are you sure?","1","but-are-you-sure"
"cabbages of friendship","Cabbages of Friendship","1","cabbages-of-friendship"
"cake it or not","Cake It Or Not","3","cake-it-or-not"
"calm, cool, collected","Calm, Cool, Collected","3","calm-cool-collected"
"candy and non dairy yummies","Candy And Non Dairy Yummies","6","candy-and-non-dairy-yummies"
"candy causes","Candy Causes","10","candy-causes"
"candy cure","Candy Cure","2","candy-cure"
"candy mystery","Candy Mystery","4","candy-mystery"
"carve out some time","Carve Out Some Time","1","carve-out-some-time"
"cat food","Cat Food","1","cat-food"
"catch them all","Catch Them All","3","catch-them-all"
"catcher of ghosts","Catcher of Ghosts","10","catcher-of-ghosts"
"cecil's new steed","Cecil's New Steed","1","cecils-new-steed"
"celebrate learning","Celebrate Learning","1","celebrate-learning"
"change of address","Change of Address","1","change-of-address"
"chums","Chums","6","chums"
"coin connoisseur","Coin Connoisseur","1","coin-connoisseur"
"comfort of friendship","Comfort of Friendship","1","comfort-of-friendship"
"concessions to be made","Concessions To Be Made","8","concessions-to-be-made"
"conjure up a new recipe","Conjure Up A New Recipe","1","conjure-up-a-new-recipe"
"consequences and defenses","Consequences and Defenses","22","consequences-and-defenses"
"cookies of friendship","Cookies of Friendship","1","cookies-of-friendship"
"core of friendship","Core of Friendship","1","core-of-friendship"
"corn of interest part 01","Corn of Interest Part 01","1","corn-of-interest-part-01"
"corn of interest part 02","Corn of Interest Part 02","1","corn-of-interest-part-02"
"corn of interest part 03","Corn of Interest Part 03","1","corn-of-interest-part-03"
"corn of interest part 04","Corn of Interest Part 04","1","corn-of-interest-part-04"
"corn of interest part 05","Corn of Interest Part 05","1","corn-of-interest-part-05"
"corn of interest part 06","Corn of Interest Part 06","1","corn-of-interest-part-06"
"corn of interest part 07","Corn of Interest Part 07","1","corn-of-interest-part-07"
"corn of interest part 08","Corn of Interest Part 08","1","corn-of-interest-part-08"
"corn of interest part 09","Corn of Interest Part 09","1","corn-of-interest-part-09"
"corn of interest part 10","Corn of Interest Part 10","1","corn-of-interest-part-10"
"corn of interest part 11","Corn of Interest Part 11","1","corn-of-interest-part-11"
"corn of interest part 12","Corn of Interest Part 12","1","corn-of-interest-part-12"
"corn of interest part 13","Corn of Interest Part 13","1","corn-of-interest-part-13"
"corn of interest part 14","Corn of Interest Part 14","1","corn-of-interest-part-14"
"corn of interest part 15","Corn of Interest Part 15","1","corn-of-interest-part-15"
"corn of interest part 16","Corn of Interest Part 16","1","corn-of-interest-part-16"
"corn of interest part 17","Corn of Interest Part 17","1","corn-of-interest-part-17"
"corn of interest part 18","Corn of Interest Part 18","1","corn-of-interest-part-18"
"corn of interest part 19","Corn of Interest Part 19","1","corn-of-interest-part-19"
"corn of interest part 20","Corn of Interest Part 20","1","corn-of-interest-part-20"
"corn of interest part 21","Corn of Interest Part 21","1","corn-of-interest-part-21"
"corn of interest part 22","Corn of Interest Part 22","1","corn-of-interest-part-22"
"corn of interest part 23","Corn of Interest Part 23","1","corn-of-interest-part-23"
"corn of interest part 24","Corn of Interest Part 24","1","corn-of-interest-part-24"
"corn of interest part 25","Corn of Interest Part 25","1","corn-of-interest-part-25"
"corn of interest part 26","Corn of Interest Part 26","1","corn-of-interest-part-26"
"corn of interest part 27","Corn of Interest Part 27","1","corn-of-interest-part-27"
"corn of interest part 28","Corn of Interest Part 28","1","corn-of-interest-part-28"
"corn of interest part 29","Corn of Interest Part 29","1","corn-of-interest-part-29"
"corn of interest part 30","Corn of Interest Part 30","1","corn-of-interest-part-30"
"corn of interest part 31","Corn of Interest Part 31","1","corn-of-interest-part-31"
"corn quandary","Corn Quandary","30","corn-quandary"
"cosplay costume","Cosplay Costume","1","cosplay-costume"
"could one occasion kindly involve everyone?","Could One Occasion Kindly Involve Everyone?","7","could-one-occasion-kindly-involve-everyone"
"covert santa","Covert Santa","18","covert-santa"
"coveted canine","Coveted Canine","1","coveted-canine"
"cowboy cecil","Cowboy Cecil","2","cowboy-cecil"
"crafting is easy","Crafting Is Easy","4","crafting-is-easy"
"crates unlocked for buddy's enrichment","Crates Unlocked for Buddy's Enrichment","6","crates-unlocked-for-buddys-enrichment"
"crush of waves","Crush of Waves","10","crush-of-waves"
"cuucoo's awakening","Cuucoo's Awakening","8","cuucoos-awakening"
"daily dairy","Daily Dairy","0","daily-dairy"
"deck the town (with bats and lanterns)","Deck The Town (With Bats And Lanterns)","20","deck-the-town-with-bats-and-lanterns"
"defenses and consequences","Defenses and Consequences","22","defenses-and-consequences"
"depths of friendship","Depths of Friendship","1","depths-of-friendship"
"dice for a fireball","Dice for a Fireball","1","dice-for-a-fireball"
"dinner party","Dinner Party","7","dinner-party"
"distant illusions","Distant Illusions","14","distant-illusions"
"distant superfan 36","Distant Superfan 36","1","distant-superfan-36"
"distant superfan 77","Distant Superfan 77","1","distant-superfan-77"
"do you carrot all?","do you carrot all?","1","do-you-carrot-all"
"do you want to build a snowman?","Do You Want to Build A Snowman?","4","do-you-want-to-build-a-snowman"
"dog days of summer","Dog Days of Summer","1","dog-days-of-summer"
"donation for education","Donation For Education","7","donation-for-education"
"don't nog it until you try it","Don't Nog It Until You Try It","1","dont-nog-it-until-you-try-it"
"dragon of friendship","Dragon of Friendship","1","dragon-of-friendship"
"dread stations","Dread Stations","3","dread-stations"
"drink in the green","Drink in the Green","7","drink-in-the-green"
"effigy of friendship","Effigy of Friendship","1","effigy-of-friendship"
"egg drop contest","Egg Drop Contest","1","egg-drop-contest"
"egg hunt","Egg Hunt","1","egg-hunt"
"eggsellent plan","Eggsellent Plan","6","eggsellent-plan"
"eggstra lucky","Eggstra Lucky","4","eggstra-lucky"
"eggstra profits","Eggstra Profits","1","eggstra-profits"
"eggstremely delicious","Eggstremely Delicious","2","eggstremely-delicious"
"eggstremely magical","Eggstremely Magical","6","eggstremely-magical"
"eggstremely valuable","Eggstremely Valuable","13","eggstremely-valuable"
"emerald walks everyday","Emerald Walks Everyday","2","emerald-walks-everyday"
"ends of the rainbow","Ends Of The Rainbow","1","ends-of-the-rainbow"
"escape from pirate's cove","Escape from Pirate's Cove","1","escape-from-pirates-cove"
"escargot","Escargot","1","escargot"
"excuuuse me, farmer","Excuuuse me, Farmer","5","excuuuse-me-farmer"
"exotic omelette","Exotic Omelette","1","exotic-omelette"
"experimental bait","Experimental Bait","2","experimental-bait"
"explosively grand offer","Explosively Grand Offer","2","explosively-grand-offer"
"explosively thankful","Explosively Thankful","1","explosively-thankful"
"exquisite cuisine, iced","Exquisite Cuisine, Iced","2","exquisite-cuisine-iced"
"fabled sailor","Fabled Sailor","1","fabled-sailor"
"fake fishing","Fake Fishing","1","fake-fishing"
"falling autumn leaves loved","Falling Autumn Leaves Loved","1","falling-autumn-leaves-loved"
"fancy dinner","Fancy Dinner","1","fancy-dinner"
"far away","Far Away","36","far-away"
"fear or treat","Fear or Treat","2","fear-or-treat"
"feathers","Feathers","9","feathers"
"fellow farmer","Fellow Farmer","3","fellow-farmer"
"find a way","Find A Way","11","find-a-way"
"fine fishing","Fine Fishing","9","fine-fishing"
"fire alarm","Fire Alarm","1","fire-alarm"
"fire brigade","Fire Brigade","1","fire-brigade"
"fire in the belly","Fire in the Belly","2","fire-in-the-belly"
"fire in the field","Fire in the Field","1","fire-in-the-field"
"fire in the forest","Fire in the Forest","1","fire-in-the-forest"
"fire unstable","Fire Unstable","1","fire-unstable"
"fishin' in the dark","Fishin' in the Dark","1","fishin-in-the-dark"
"fishing for thanks","Fishing For Thanks","1","fishing-for-thanks"
"fishing tournament","Fishing Tournament","8","fishing-tournament"
"fitness friends fit forever","Fitness Friends Fit Forever","3","fitness-friends-fit-forever"
"flexible spending","Flexible Spending","1","flexible-spending"
"flu away","Flu Away","1","flu-away"
"flux capacitor","Flux Capacitor","1","flux-capacitor"
"fly fishing lures","Fly Fishing Lures","1","fly-fishing-lures"
"fooled","Fooled","5","fooled"
"foraging for food","Foraging for Food","1","foraging-for-food"
"frank's pranks","frank's pranks","20","franks-pranks"
"free candy","Free Candy","5","free-candy"
"free to fly","Free To Fly","2","free-to-fly"
"freedom universally","Freedom Universally","4","freedom-universally"
"friday the 13th","Friday the 13th","4","friday-the-13th"
"friends with charles","Friends With Charles","1","friends-with-charles"
"frog got your tongue","Frog Got Your Tongue","3","frog-got-your-tongue"
"fruit mix","Fruit Mix","1","fruit-mix"
"fun in the sun","Fun in the Sun","2","fun-in-the-sun"
"fun with fusion","Fun With Fusion","2","fun-with-fusion"
"fungal bungle","Fungal Bungle","12","fungal-bungle"
"funny teeth","Funny Teeth","1","funny-teeth"
"fuzzy unfairness neutralized","Fuzzy Unfairness Neutralized","1","fuzzy-unfairness-neutralized"
"ghosts of candies past","Ghosts of Candies Past","2","ghosts-of-candies-past"
"giamics' jubilee","Giamics' Jubilee","14","giamics-jubilee"
"glacier lake effect","Glacier Lake Effect","5","glacier-lake-effect"
"goat of friendship","GOAT of Friendship","1","goat-of-friendship"
"gold mine","Gold Mine","1","gold-mine"
"gone fishing","Gone Fishing","1","gone-fishing"
"gossip gelding","Gossip Gelding","1","gossip-gelding"
"gourd intentions","Gourd Intentions","3","gourd-intentions"
"gratitude and gravy","Gratitude and Gravy","2","gratitude-and-gravy"
"green alchemy","Green Alchemy","21","green-alchemy"
"green eggs and bacon","Green Eggs and Bacon","4","green-eggs-and-bacon"
"green initiative","Green Initiative","10","green-initiative"
"grill and thrill","Grill And Thrill","4","grill-and-thrill"
"grill party","Grill Party","1","grill-party"
"guess who","Guess Who","4","guess-who"
"guest ledger","Guest Ledger","1","guest-ledger"
"hakuna matata","Hakuna Matata","1","hakuna-matata"
"half a million","Half a Million","7","half-a-million"
"halloween safety","Halloween Safety","1","halloween-safety"
"halloween trade","Halloween Trade","1","halloween-trade"
"happy all hallows' eve","Happy All Hallows' Eve","1","happy-all-hallows-eve"
"happy halloween","Happy Halloween","4","happy-halloween"
"happy homunculus","Happy Homunculus","2","happy-homunculus"
"happy neigh year","Happy Neigh Year","10","happy-neigh-year"
"hard at work","Hard At Work","6","hard-at-work"
"hare handler","Hare Handler","8","hare-handler"
"have a ball","Have A Ball","1","have-a-ball"
"hay holidays","Hay Holidays","4","hay-holidays"
"hay, how are you?","Hay, How Are You?","5","hay-how-are-you"
"hay-lloween","Hay-lloween","1","hay-lloween"
"heart items inventory incrementally increased","Heart Items Inventory Incrementally Increased","5","heart-items-inventory-incrementally-increased"
"heart of the matter","Heart Of The Matter","2","heart-of-the-matter"
"help kneaded","Help Kneaded","2","help-kneaded"
"his mane quest","His Mane Quest","7","his-mane-quest"
"history of friendship","History of Friendship","1","history-of-friendship"
"hold the line","Hold The Line","1","hold-the-line"
"home for the holidays","Home For The Holidays","10","home-for-the-holidays"
"hoptimistic","Hoptimistic","8","hoptimistic"
"horse before the carton","Horse Before The Carton","5","horse-before-the-carton"
"hot peppers","Hot Peppers","1","hot-peppers"
"humming along helps","Humming Along Helps","2","humming-along-helps"
"hungry holger","Hungry Holger","4","hungry-holger"
"i <3 halloween","I <3 Halloween","1","i-3-halloween"
"i hate to bug you","I Hate To Bug You","7","i-hate-to-bug-you"
"ice cleared everywhere","Ice Cleared Everywhere","2","ice-cleared-everywhere"
"ice collections","Ice Collections","3","ice-collections"
"ice covers everything","Ice Covers Everything","2","ice-covers-everything"
"iced crops examination","Iced Crops Examination","8","iced-crops-examination"
"iced crops extreme examination","Iced Crops Extreme Examination","7","iced-crops-extreme-examination"
"iced crops extreme examination extra extremey","Iced Crops Extreme Examination Extra Extremey","2","iced-crops-extreme-examination-extra-extremey"
"idle wild","Idle Wild","2","idle-wild"
"incrementally collecting everything","Incrementally Collecting Everything","8","incrementally-collecting-everything"
"indecipherable note","Indecipherable Note","3","indecipherable-note"
"ingredients of friendship","Ingredients of Friendship","1","ingredients-of-friendship"
"interior design","Interior Design","1","interior-design"
"intruders beware","Intruders Beware","11","intruders-beware"
"invasive fish","Invasive Fish","1","invasive-fish"
"irrational numbers","Irrational Numbers","3","irrational-numbers"
"irrational numbers iii.14","Irrational Numbers III.14","1","irrational-numbers-iii-14"
"irrationally hungry","Irrationally Hungry","2","irrationally-hungry"
"island of friendship","Island of Friendship","1","island-of-friendship"
"islands are hard to catch","Islands Are Hard To Catch","11","islands-are-hard-to-catch"
"it's beginning to look a lot like warfare","It?s Beginning To Look A Lot Like Warfare","21","it-s-beginning-to-look-a-lot-like-warfare"
"joyful thanks","Joyful Thanks","1","joyful-thanks"
"jubilee invitation","Jubilee Invitation","15","jubilee-invitation"
"junction of joyful appreciation","Junction Of Joyful Appreciation","1","junction-of-joyful-appreciation"
"just a pinch","Just A Pinch","3","just-a-pinch"
"just as sweet","Just As Sweet","2","just-as-sweet"
"keep scarecrows always masked","Keep Scarecrows Always Masked","3","keep-scarecrows-always-masked"
"kernel of friendship","Kernel of Friendship","1","kernel-of-friendship"
"king of apples","King of Apples","10","king-of-apples"
"king of cakes","King of Cakes","3","king-of-cakes"
"knowledge is power","Knowledge is Power","1","knowledge-is-power"
"last but not least...","Last but not least...","1","last-but-not-least"
"lasting impression","Lasting Impression","4","lasting-impression"
"leaky roof","Leaky Roof","1","leaky-roof"
"lemon, interrupted","Lemon, Interrupted","1","lemon-interrupted"
"let's do the time warp","Let?s Do The Time Warp","5","let-s-do-the-time-warp"
"let's play pirates","Let's Play Pirates","5","lets-play-pirates"
"letters to sarafina","Letters To Sarafina","1","letters-to-sarafina"
"liberty to the captives","Liberty To The Captives","7","liberty-to-the-captives"
"limerick or treat","Limerick or Treat","3","limerick-or-treat"
"look, a secret temple","Look, A Secret Temple","1","look-a-secret-temple"
"lorn's advice","Lorn's Advice","5","lorns-advice"
"lorn's awakening","Lorn's Awakening","14","lorns-awakening"
"lost and found","Lost and Found","1","lost-and-found"
"lost at sea?","Lost at Sea?","1","lost-at-sea"
"lost family heirloom","Lost Family Heirloom","1","lost-family-heirloom"
"lost reindeer","Lost Reindeer","10","lost-reindeer"
"love at first bite","Love At First Bite","2","love-at-first-bite"
"love is for the horses","Love Is For The Horses","3","love-is-for-the-horses"
"low on coal","Low On Coal","4","low-on-coal"
"lucky clover","Lucky Clover","1","lucky-clover"
"lunar telescope","Lunar Telescope","1","lunar-telescope"
"magic of friendship","Magic of Friendship","1","magic-of-friendship"
"make life take the lemons back!","Make Life Take The Lemons Back!","1","make-life-take-the-lemons-back"
"mane hospital","Mane Hospital","1","mane-hospital"
"masked delivery","Masked Delivery","1","masked-delivery"
"masks aren't scary, kids","Masks Aren?t Scary, Kids","3","masks-aren-t-scary-kids"
"may the horse be with you","May The Horse Be With You","8","may-the-horse-be-with-you"
"milk chugging","Milk Chugging","1","milk-chugging"
"monetarily thankful","Monetarily Thankful","1","monetarily-thankful"
"money for nothing","Money For Nothing","1","money-for-nothing"
"monster hunter","Monster Hunter","7","monster-hunter"
"moon shot","Moon Shot","2","moon-shot"
"moose horns","Moose Horns","1","moose-horns"
"more a-peeling","More A-peeling","2","more-a-peeling"
"mushroom stew","Mushroom Stew","1","mushroom-stew"
"music of friendship","Music of Friendship","1","music-of-friendship"
"my cabbages","My Cabbages","20","my-cabbages"
"my favorite corn","My Favorite Corn","1","my-favorite-corn"
"mysteries of friendship","Mysteries of Friendship","1","mysteries-of-friendship"
"mystery contraption","Mystery Contraption","2","mystery-contraption"
"naturally thankful","Naturally Thankful","1","naturally-thankful"
"need for nog","Need For Nog","3","need-for-nog"
"neighborly gesture","Neighborly Gesture","1","neighborly-gesture"
"neighs of our lives","Neighs Of Our Lives","1","neighs-of-our-lives"
"never gonna give corn up","Never Gonna Give Corn Up","1","never-gonna-give-corn-up"
"new moon","New Moon","4","new-moon"
"new neighbor","New Neighbor","4","new-neighbor"
"new year new moon","New Year New Moon","5","new-year-new-moon"
"noisy nuisance","Noisy Nuisance","2","noisy-nuisance"
"not from around here","Not From Around Here","3","not-from-around-here"
"notary public","Notary Public","10","notary-public"
"not-so-strange stones","Not-So-Strange Stones","1","not-so-strange-stones"
"now you don't","Now You Don't","1","now-you-dont"
"now you see it","Now You See It","1","now-you-see-it"
"observation logs","Observation Logs","1","observation-logs"
"of hares and feathers","Of Hares And Feathers","1","of-hares-and-feathers"
"of planks and cannonballs","Of Planks and Cannonballs","1","of-planks-and-cannonballs"
"once upon a halloween","Once Upon A Halloween","6","once-upon-a-halloween"
"one hoof to live","One Hoof to Live","1","one-hoof-to-live"
"orange justice","Orange Justice","1","orange-justice"
"our patron of refreshment","Our Patron of Refreshment","4","our-patron-of-refreshment"
"parts unknown","Parts Unknown","24","parts-unknown"
"party corn","Party Corn","2","party-corn"
"patiently baking","Patiently Baking","2","patiently-baking"
"peaches for free","Peaches For Free","3","peaches-for-free"
"peculiar endings","Peculiar Endings","7","peculiar-endings"
"performance enhancing grapes","Performance Enhancing Grapes","4","performance-enhancing-grapes"
"perils of friendship","Perils of Friendship","1","perils-of-friendship"
"pet spider","Pet Spider","5","pet-spider"
"pirate stealth arrival","Pirate Stealth Arrival","2","pirate-stealth-arrival"
"pirate's cove","Pirate's Cove","9","pirates-cove"
"pirates start arriving","Pirates Start Arriving","13","pirates-start-arriving"
"pleasantly arbitrating misconstrued relational affronts, troubles skirted","Pleasantly Arbitrating Misconstrued Relational Affronts, Troubles Skirted","13","pleasantly-arbitrating-misconstrued-relational-affronts-troubles-skirted"
"pretty abrupt save","Pretty Abrupt Save","1","pretty-abrupt-save"
"price of friendship","Price of Friendship","1","price-of-friendship"
"probably nothing to worry about","Probably Nothing to Worry About","1","probably-nothing-to-worry-about"
"problems start arising","Problems Start Arising","5","problems-start-arising"
"problems still abound","Problems Still Abound","2","problems-still-abound"
"pumpkins spiced, apples tart","Pumpkins Spiced, Apples Tart","8","pumpkins-spiced-apples-tart"
"punkin chunkin trebuchet","Punkin Chunkin Trebuchet","1","punkin-chunkin-trebuchet"
"putting down roots","Putting Down Roots","1","putting-down-roots"
"pyramid scheme","Pyramid Scheme","3","pyramid-scheme"
"quarter million","Quarter Million","6","quarter-million"
"queen bea of friendship","Queen Bea of Friendship","1","queen-bea-of-friendship"
"questionable cooking","Questionable Cooking","1","questionable-cooking"
"rage against tattered masonry","Rage Against Tattered Masonry","1","rage-against-tattered-masonry"
"rapturous thanksgiving","Rapturous Thanksgiving","2","rapturous-thanksgiving"
"rat trap!","Rat Trap!","1","rat-trap"
"recycling project","Recycling Project","1","recycling-project"
"red diamond four of a kind","Red Diamond Four of a Kind","4","red-diamond-four-of-a-kind"
"red diamond full house","Red Diamond Full House","2","red-diamond-full-house"
"red diamond high card","Red Diamond High Card","1","red-diamond-high-card"
"red diamond pair","Red Diamond Pair","2","red-diamond-pair"
"red diamond royal flush","Red Diamond Royal Flush","5","red-diamond-royal-flush"
"red diamond ruined","Red Diamond Ruined","2","red-diamond-ruined"
"red diamond runathon","Red Diamond Runathon","11","red-diamond-runathon"
"red diamond straight flush","Red Diamond Straight Flush","5","red-diamond-straight-flush"
"red diamond three of a kind","Red Diamond Three of a Kind","3","red-diamond-three-of-a-kind"
"red diamond two pair","Red Diamond Two Pair","2","red-diamond-two-pair"
"red diamond wild","Red Diamond Wild","1","red-diamond-wild"
"reindeer safety program","Reindeer Safety Program","9","reindeer-safety-program"
"reindeer search protocol","Reindeer Search Protocol","1","reindeer-search-protocol"
"relaxing refreshment required","Relaxing Refreshment Required","2","relaxing-refreshment-required"
"remember to be thankful","Remember To Be Thankful","4","remember-to-be-thankful"
"return our lost friend","Return Our Lost Friend","5","return-our-lost-friend"
"revenge of the fifth","Revenge Of The Fifth","1","revenge-of-the-fifth"
"revenge of the fifth, even fifthier","Revenge of the Fifth, Even Fifthier","1","revenge-of-the-fifth-even-fifthier"
