item_name,difficulty,method,notes,tags,passive_craftworks_info,farmrpg_item_id,buddy_item_id,buddy_slug,source_sheet,source_row
Pearl,1,"Fishing, Locksmith","Very easy GM. You will get progress on this from fishing in Emerald Beach, or just opening Large Chest 01 for Ancient Coin or other gems.",,,,,,King Mastery Sheet,172
Peas,1,Farming,"Quick crop that can be grown instantly with Breakfast Boost. Can do these any time, but I'd recommed waiting until they are the CC item, or you can send them to Lorn or Holger",,,,,,King Mastery Sheet,174
Peppers,1,Farming,"The quickest growing crop. Gm is technically very quick, but requires constant monitoring to be the most effective. Alternatively a few uses of Breakfast Boost will get this done super quick.",,,,,,King Mastery Sheet,175
Plumbfish,1,Fishing,Quick gm once you unlock Large Island.,,,,,,King Mastery Sheet,179
Purple Butterfly Fish,1,Fishing,Very quick and easy PC fish.,,,,,,King Mastery Sheet,187
Redgill,1,Fishing,"Slower Minerva fish, but still quick and painless.",,,,,,King Mastery Sheet,202
Rope,1,Crafting,You will live and breathe Rope before long.,,,,,,King Mastery Sheet,204
Ruby,1,"Locksmith, Crafting",Opening Large Chest 01 for Borgen shop and the wheel will make this mastery go quickly. Craft into rings if you can afford the paste.,,,,,,King Mastery Sheet,205
Ruby Coral,1,Fishing,"You should be doing plenty of fishing in the Large Island for silver, so this should come very quickly.",,,,,,King Mastery Sheet,206
Sand,1,Exploring,Not worth working on until you fully unlock Jundland Desert. It is super fast there.,,,,,,King Mastery Sheet,230
Sea Catfish,1,Fishing,Another quick and painless Large Island gm.,,,,,,King Mastery Sheet,232
Sea Crest,1,Fishing,Another Glacier Lake fish. Should come shortly after unlocking the zone.,,,,,,King Mastery Sheet,233
Seeker,1,Fishing,"After unlocking Glacier Lake, this will come very quickly.",,,,,,King Mastery Sheet,238
Serpent Eel,1,Fishing,Fishing at Large Island for silver to progress and upgrade production buildings will make this come naturally.,,,,,,King Mastery Sheet,239
Shimmer Stone,1,Crafting,"Used to make Glass Orb from Unpolished Shimmer Stone. I don't think you ever need to focus on this mastery, it should just happen over time.",,,,,,King Mastery Sheet,241
Shimmer Topaz,1,"Locksmith, Crafting","You can craft this, but you will most likely get GM and more just from opening Large Chest 01.",,,,,,King Mastery Sheet,242
Shovel,1,Crafting,"Nice and easy wood, mushroom, and stone craft. Can send to Ric Ryph for some friendship xp, or wait til a valid CC day.",,,,,,King Mastery Sheet,244
Shrimp,1,Fishing,Quick Vast Ocean mastery. Send these to Lorn for friendship xp.,,,,,,King Mastery Sheet,245
Skipjack,1,Fishing,This is one of the easiest fish masteries. You will probably MM this while working on some other VO gms.,,,,,,King Mastery Sheet,247
Slobster,1,,,,,,,,Missing from mastery_difficulty,
Small Prawn,1,Fishing,The fastest Small Island gm by a longshot.,,,,,,King Mastery Sheet,248
Speckled Grouper,1,Fishing,You should GM this pretty quickly after unlocking Pirate's Cove.,,,,,,King Mastery Sheet,249
Spiral Shell,1,Fishing,"Unlike its cousin Spiked Shell, this is a very easy Large Island mastery. GM will come naturally as you fish for xp and silver.",,,,,,King Mastery Sheet,251
Starfish,1,Fishing,"Emerald Beach has lots of masteries, and this is one of the quicker ones.",,,,,,King Mastery Sheet,254
Steel,1,Steelworks,"Once you unlock Steelworks this will start coming pretty quickly. You will need a goof bit for other masteries, like ((Scissor)), Jade Charm, Red Shield, and others.",,Passive  - 0,,,,King Mastery Sheet,255
Stone Jelly,1,Fishing,Another quick GL mastery once you've unlocked the zone.,,,,,,King Mastery Sheet,262
Sturdy Shield,1,Crafting,You should definitely have some progress on these by the time you start caring about masteries. Sawmill Silver. They're still a great way to turn passive production into silver at any point in the game.,,,,,,King Mastery Sheet,265
Sunfish,1,Fishing,Super quick Crystal River mastery. Nothing special about them though.,,,,,,King Mastery Sheet,267
Swordfish,1,Fishing,The fastest Large Island mastery. Doesn't really look like a Sturdy Sword though to me.,,,,,,King Mastery Sheet,270
Tin Scraps,1,,,,,,,,Missing from mastery_difficulty,
Torch Fish,1,Fishing,The highest drop rate fish in the entire game. It's worth it to sell in Minerva if you can remember.,,,,,,King Mastery Sheet,272
Trout,1,"Trout Farm, Fishing","You can fish for these, or upgrade your trout farm a bit and bask in the glorious free mastery every day at reset.",,Passive  - 0,,,,King Mastery Sheet,274
Twine,1,Crafting,"Very easy mastery, GM, and even MM. You will need to make tons of twine for other masteries and to make rope for nets.",,Passive  - 1,,,,King Mastery Sheet,275
Unpolished Shimmer Stone,1,Exploring,"Explore for these. Emberstone is needed for too many crafts to be using it on glass. It doesn't really matter where you explore, just make use of the other materials in that zone and you'll be fine.",,,,,,King Mastery Sheet,276
White Parchment,1,Crafting,"Quick and painless. Great way to use daily feathers, and necessary when working on any of the diary gms.",,Passive  - 1,,,,King Mastery Sheet,281
Wooden Barrel,1,Crafting,"Cheap mastery that can be done passively. If you can, turn these into Butter Churn.",,Passive  - 1,,,,King Mastery Sheet,284
Wooden Button,1,Crafting,Very cheap and simple. Can be done entirely passively.,,,,,,King Mastery Sheet,287
Wooden Plank,1,Crafting,"You should be making plenty of these to work on other masteries and Sawmill Silver. Gm, and even MM will come naturally while you work on other things.",,Passive  - 1,,,,King Mastery Sheet,288
Wooden Shield,1,Crafting,Cheap mastery that can be done passively. Try to turn these into either Green Shield or Red Shield if you can.,,,,,,King Mastery Sheet,289
Yarn,1,Crafting,"Can be made entirely from passive production. Make sure you either turn it into Green Scarf or Fancy Drum, or send it to Cecil or Gary Bearson V for friendship xp.",,,,,,King Mastery Sheet,294
Yellow Perch,1,Fishing,"Quick, easy fishing mastery/GM. Found in the first 4 fishing zones. You can send these to Jill for some great friendship xp, or Geist.",,,,,,King Mastery Sheet,295
Reaver Claw,1,,,,,,,,Missing from mastery_difficulty,
Shinefish,9,,,,,,,,Missing from mastery_difficulty,
Slime Egg Shell,1,,,,,,,,Missing from mastery_difficulty,
Slimeback,1,,,,,,,,Missing from mastery_difficulty,
Amethyst Necklace,2,Crafting,"Quick to gm, or MM, while working on other Highland Hills masteries. Can also get from opening Medium Chest 02, 5 each.",,,,,,King Mastery Sheet,4
Axe,2,Crafting,"Very easy GM or MM, able to be worked on at any point in the game. It's best to use your axes for Exchange Center trades, or send to Vincent for friendship XP. You can also explore Small Cave and turn these directly into Spoon as well, provided you can keep up Twine production.",,,,,,King Mastery Sheet,9
Bamboo Rope,2,,,,,,,,Missing from mastery_difficulty,
Barbed Wire,2,,,,,,,,Missing from mastery_difficulty,
Black Powder,2,Crafting,"Can be done actively via exploring, or passively via Quarry. Either use it for Explosive, Bottle Rocket, or Beatrix friendship XP.",,Passive  - 1,,,,King Mastery Sheet,13
Blue Catfish,2,Fishing,"One of the slower Crystal River masteries, but still quite easy... just spam nets.",,,,,,King Mastery Sheet,15
Blue Crab,2,Fishing,There are lots of fish to master at Small Island and this is one of the quicker ones. Send these to Captain Thomas or Geist for friendship xp.,,,,,,King Mastery Sheet,16
Blue Diary,2,Crafting,"Fairly simple, but useless.",,,,,,King Mastery Sheet,17
Blue Parchment,2,Crafting,"Less use than Blue Dye, but slightly cheaper. Turn it into diaries.",,,,,,King Mastery Sheet,19
Blue Sea Bass,2,Fishing,"Drops from Small Island or Vast Ocean. The rates are pretty low from both, but you should make good progress while GMing the easiesr fish in each zone.",,,,,,King Mastery Sheet,21
Blue Tiger Fish,2,Fishing,"One of the slower Emerald Beach Fish, but not the slowest.",,,,,,King Mastery Sheet,23
Bluegill,2,Fishing,"Forest Pond is a great fishing zone for friendship xp, and a few quick fishing GMs. Send these to Holger.",,,,,,King Mastery Sheet,25
Brown Dye,2,,,,,,,,Missing from mastery_difficulty,
Chum,2,Crafting,Can be worked on entirely from passive production. Make sure you upgrade your Trout/Bait Farm and Worm Habitat to keep production flowing. These sell for decent silver as well.,,,,,,King Mastery Sheet,46
Clownfish,2,Fishing,Fairly quick Emerald Beach mastery.,,,,,,King Mastery Sheet,48
Cucumber,2,Farming,"You shouldn't bother with this until you have access to Breakfast Boost. But with that buff it should come pretty quickly, just a matter or clicking a lot. Send your extras to Mariya or wait until it is the CC item.",,,,,,King Mastery Sheet,64
Eggplant,2,Farming,"You shouldn't bother with this until you have access to Breakfast Boost. But with that buff it should come pretty quickly. Send your extras to Mariya for friendship xp, or sacrifice them in the Temple of Reward for small rewards.",,,,,,King Mastery Sheet,66
Emerald Ring,2,Crafting,"It takes a lot of Mushroom Paste, but you should always try to craft your gems into rings when you open Large Chest 01.",,,,,,King Mastery Sheet,68
Fish Bones,2,Fishing,"Low rates, but you can get them from a few zones. Good for cooking or Mummy friendship xp.",,,,,,King Mastery Sheet,80
Fishing Net,2,Crafting,"You will definitely GM or even MM these at some point. Daily Antler from your Raptor Pen after you unlock Whispering Creek, and exploring the Forest for them is the main way to make silver late game. Remember, you can't have a Large Net without a Fishing Net.",,,,,,King Mastery Sheet,81
Flarefin,2,Fishing,The hardest Lake Minerva fish (besides golden). But still not that bad. You should get a good bit of Treasure Key while GMing this.,,,,,,King Mastery Sheet,83
Fluorifish,2,Fishing,Medium speed Vast Ocean fish. Much quicker than octopus or squid.,,,,,,King Mastery Sheet,86
Garnet,2,Crafting,"You should be crafting these as you explore Whispering Creek for Raptor Egg and levels. You really want to craft Garnet Ring if you can, but sometimes the paste need is too high, in which case you can just sell.",,,,,,King Mastery Sheet,92
Globber,2,Fishing,"A medium speed Lake Tempest/Crystal River fish, and you can suppliment progress a tiny bit with Grab Bag 02 from the Small Cave.",,,,,,King Mastery Sheet,99
Green Diary,2,Crafting,"If you take some time in Highland Hills you can work on both green/purple parchments and diaries. You'll just need to get some extra paste and feathers occassionally to keep up, but it's relatively low effort and fairly quick.",,,,,,King Mastery Sheet,109
Green Dye,2,Crafting,"Pretty cheap and quick. Do your best to turn these into Green Shield or Green Scarf, or if you have the rest of the resources Green Cloak.",,,,,,King Mastery Sheet,110
Green Jellyfish,2,Fishing,Medium speed Vast Ocean fish. Much quicker than octopus or squid.,,,,,,King Mastery Sheet,111
Green Scarf,2,Crafting,Pretty cheap and low effort. If you wait for passive Straw into Twine into Yarn you don't need to explore much.,,,,,,King Mastery Sheet,113
Green Shield,2,Crafting,Pretty cheap and low effort. If you turn passive Board into Wooden Plank into Wooden Shield you don't need to explore much.,,,,,,King Mastery Sheet,114
Green Twine,2,Crafting,Throw some Green Dye on twine and call it a day.,,,,,,King Mastery Sheet,115
Jade,2,Locksmith,Please do not craft Jade. Unpolished Jade.,,,,,,King Mastery Sheet,128
Jellyfish,2,Fishing,"Slower fishing mastery, but still very reasonable.",,,,,,King Mastery Sheet,130
Lantern,2,Crafting,"Great for leveling your crafting skill (if you need xp, make sure you manually craft, no craftworks) and for silver.",,,,,,King Mastery Sheet,134
Leather Diary,2,Crafting,"The easiest diary, and the easiest to get rid of. Send these to Mariya for friendship xp.",,,,,,King Mastery Sheet,141
Leather Waterskin,2,Crafting,"Definitely try to craft these with mastery bonuses on, Mushroom Stew and an event bonus if possible. Also do your best to sell these during events, especially with IOTD bonus an Shrimp-a-Plenty. Production is almost entirely trhough pets, so will be very slow.",,,,,,King Mastery Sheet,142
Looking Glass,2,Crafting,"Quick Board/Glass mastery. Great to work on with glass from Ember Lagoon, or while exploring CPR.",,,,,,King Mastery Sheet,147
Magnifying Glass,2,Crafting,"Pretty quick board/glass mastery, also sells for decent silver early on. Great to work on alongside Lemon Quartz Ring in CPR.",,,,,,King Mastery Sheet,151
Marlin,2,Fishing,Reasonable fish mastery that you can work on from both Vast Ocean and Emerald Beach.,,,,,,King Mastery Sheet,152
Pearl Necklace,2,Crafting,"Pretty much just Pearl and some Twine. Easy, and great to work on while opening chests for AC... If you can keep up with the Twine.",,,,,,King Mastery Sheet,173
Pickaxe,2,Crafting,"Very easy GM or MM, able to be worked on at any point in the game. You can also explore Small Cave and turn these directly into Bone Pickaxe",,,,,,King Mastery Sheet,297
Pitchfork,2,Crafting,"Looks harder than it is, honestly.",,,,,,King Mastery Sheet,178
Puffer,2,Fishing,A medium speed Emerald Beach mastery. Also a cool emblem that some notable community members use.,,,,,,King Mastery Sheet,184
Red Starfish,2,Fishing,"A quicker Emerald Beach mastery. Nothing fancy, just lots of Fishing Net and Large Net.",,,,,,King Mastery Sheet,199
Ruby Fish,2,Fishing,"You can get these in both Vast Ocean and Emerald Beach, so you'll get it pretty quick if you're working on other fishing masteries.",,,,,,King Mastery Sheet,207
Ruby Ring,2,Crafting,Easy ring mastery. Great to work on during Borgen days.,,,,,,King Mastery Sheet,208
Scissors,2,Crafting,"After unlocking Steelworks, you can produce these passively via Craftworks. Speed will be based on your production, how often you sell, and whether you dedicate time to actively crafting them. Overall pretty cheap to make though.",,,,,,King Mastery Sheet,231
Seahorse,2,Fishing,"Slower gm, but relatively easy. Just keep dropping nets in Emerald Beach.",,,,,,King Mastery Sheet,236
Shimmer Ring,2,Crafting,"If you've got Mushroom Paste it's super quick and easy while opening Large Chest 01. (Good for borgen days, or spinning the wheel).",,,,,,King Mastery Sheet,240
Steel Wire,2,Steelworks,"Once you unlock Steelworks you will start getting passive progress every hour. Upgrading steelworks is expensive, so if you may need to actively work on these. Turning them into Crossbow is a great profit.",,Passive  - 0,,,,King Mastery Sheet,259
Stingray,2,Fishing,"Another fishing mastery that can be worked on in both Emerald Beach and Vast Ocean. It's slower than most in either zone, but working on it from both will get it fairly quickly. Send these to Geist for some friendship xp.",,,,,,King Mastery Sheet,261
Sturdy Box,2,Crafting,Just needs a lot of wood/boards/planks. You can do this fully from passive production with craftworks.,,,,,,King Mastery Sheet,264
Sturdy Sword,2,Crafting,"Using Mushroom Paste and Leather from exploring the forest and passive Steel this goes pretty quick, and costs very little. Can sell or donate to a raptor in rfc.",,,,,,King Mastery Sheet,266
Tin Can,2,,,,,,,,Missing from mastery_difficulty,
Toxic Tendrils,2,,,,,,,,Missing from mastery_difficulty,
Treasure Chest,2,Crafting,"Full wood mastery, can be done entirely from passive production and craftworks.",,,,,,King Mastery Sheet,273
Wagon Wheel,2,Crafting,"Needs lots of Board, but luckily we can make those hourly via sawmill! Another potentially passive mastery thanks to craftworks.",,Passive  - 1,,,,King Mastery Sheet,277
Wooden Box,2,Crafting,Cheap mastery that can be done passively.,,,,,,King Mastery Sheet,286
Wooden Spear,2,Crafting,"Fairly cheap and easy mastery when you start upgrading production buildings. If you're exploring for the Arrowhead, you iwll probably have to take breaks in order to fill up on twine again, since you should be making Fishing Net as well.",,,,,,King Mastery Sheet,290
Wooden Sword,2,Crafting,Can be done entirely from passive production.,,,,,,King Mastery Sheet,291
Wooden Table,2,Crafting,Can be done entirely from passive production. Mailable for some reason. Send them to LinkJason10j for fun.,,,,,,King Mastery Sheet,292
Yellow Dye,2,,,,,,,,Missing from mastery_difficulty,
Mini Slime Squid,2,,,,,,,,Missing from mastery_difficulty,
Aquamarine Ring,3,Crafting,"Needs paste, but pretty cheap and quick overall. Not much else to do in Small Spring though while collecting Aquamarine, so try to make the most of the Feathers you get while working on this. Can also get from opening Medium Chest 02, 5 each.",,,,,,King Mastery Sheet,6
Bamboo Fence,3,,,,,,,,Missing from mastery_difficulty,
Bamboo Flute,3,,,,,,,,Missing from mastery_difficulty,
Bamboo Trellis,3,,,,,,,,Missing from mastery_difficulty,
Beet,3,Farming,"You should only really work on this with Grape Juice and Mega Beet Seeds; either from your Strange Onion pet, or the Exchange Center. Make sure to use Mushroom Stew and it will be pretty quick. Sell, don't void, since they're worth a lot.",,,,,,King Mastery Sheet,11
Blue Dye,3,Crafting,"One of the main reasons to explore Misty Forest. You should turn these into Blue Purse so you can make a lot of silver. If you don't have those unlocked yet, or have already finished, you can knock out ((Fancy Pan Flutes)) pretty wuickly, if you can keep up with the Wood needed.",,,,,,King Mastery Sheet,18
Blue Purse,3,Crafting,Work on this while doing Coin Purse and Blue Dye to make some easy silver.,,,,,,King Mastery Sheet,20
Blue Shell,3,Fishing,"Medium difficulty Small Island fish, just keep throwing nets at the zone.",,,,,,King Mastery Sheet,22
Blue Twine,3,Crafting,Throw some Blue Dye on twine and call it a day.,,,,,,King Mastery Sheet,24
Bottle Rocket,3,Crafting,"Use passive coal from Quarry to make Black Powder, passive Wood from Sawmill, and either Feathers from daily chickens or from exploring Highland Hills or Small Spring. It should go very quickly.",,,,,,King Mastery Sheet,29
Brown Bag,3,,,,,,,,Missing from mastery_difficulty,
Brown Twine,3,Crafting,Swamp,,,,,,Missing from mastery_difficulty,
Carp,3,Fishing,"Most people overlook this fish, even though it's pretty easy. That's likely because the other easy Farm Pond fish also come from other locations, and they normally get GMed from those. Send these to Holger or Thomas.",,,,,,King Mastery Sheet,42
Carrot,3,Farming,"Don't work on this GM until you have access to Breakfast Boost, whether by cooking it yourself, or trading. It's rather painless with the meal, just a bunch of clicking. Send your spares to frank, or Rosalie/Charles Horsington III.",,,,,,King Mastery Sheet,43
Catfish,3,"Fishing, Locksmith","Catfish have a pretty low drop rate from fishing in the Farm Pond. Luckily you can also get them from opening Grab Bag 01, which you get from fishing in the Forest Pond. So don't stress.",,,,,,King Mastery Sheet,44
Coin Purse,3,Crafting,"Make sure you turn these into Blue Purse as much as possible, because the silver is really good.",,,,,,King Mastery Sheet,49
Crossbow,3,Crafting,"The hardest part of this mastery should be the Steel Wire, so make sure your steelworks is upgraded a bit to help out. The upside is that these sell for great silver, which you can reinvest.",,,,,,King Mastery Sheet,62
Essence of Slime,3,Crafting,Quite cheap and painless. Great use for Hammer so work on this while you work on those. Sells for decent silver too.,,,,,,King Mastery Sheet,71
Explosive,3,Crafting,"The harder of the two Black Powder masteries, as it uses Board instead of Wood, but still pretty cheap overall. Save working on this until you can mail them, and send them to Beatrix for friendship xp.",,,,,,King Mastery Sheet,72
Flier,3,Fishing,Definitely a harder fishing mastery. But at the end of day it's still just making and using more large nets.,,,,,,King Mastery Sheet,84
Garnet Ring,3,Crafting,Try to make these when exploring Whispering Creek for Raptor Egg and xp. They sell quite nicely.,,,,,,King Mastery Sheet,93
Horn Canteen,3,Crafting,Great to work on if you're exploring Black Rock Canyon for Large Chest 02 or Orange Gecko. If you wait for passive Twine even GM is pretty cheap.,,,,,,King Mastery Sheet,120
Leather Bag,3,Crafting,Pretty easy and cheap. I would reccomend crafting these into Purple Bag so you don't have to come back and make more. Also purple ones sell for good silver.,,,,,,King Mastery Sheet,139
Leather Belt,3,Crafting,"It uses a good amoutn of Leather, but it's relatively simple overall. Great for knocking out a few masteries at a time if you do it along with its components.",,,,,,King Mastery Sheet,140
Lemonade,3,Everything :),"You will get this over time from crafting your daily fruits into juices, as well as some quests, potentially the T80 perk, and Wheel of Borgen. I don't think it's necessary to 'actively' work on this.",,,,,,King Mastery Sheet,145
Linked Lantern,3,Crafting,,,,,,,King Mastery Sheet,146
Magicite,3,"Crafting, Exploring","Starts out pretty slow, but before you know it this will be GMed. EL is a great place to explore and you can work on this via exploring directly, or crafting up Prism Shard.",,,,,,King Mastery Sheet,150
MIAB,3,Fishing,Large Net Large Net Large Net,,,,,,King Mastery Sheet,154
Mussel,3,Fishing,"A very quick Pirate Cove mastery. You'll be fishing there a lot while leaving up and earning silver for tower, so this will come naturally before you know it.",,,,,,King Mastery Sheet,159
Octopus,3,Fishing,"A slower Vast Ocean mastery, but at the end of the day it boils down to just using a lot of nets, so not very hard.",,,,,,King Mastery Sheet,163
Orange Juice,3,Everything :),"You will get this over time from crafting your daily fruits into juices, as well as some quests, potentially the T80 perk, and Wheel of Borgen. I don't think it's necessary to 'actively' work on this.",,,,,,King Mastery Sheet,166
Potato,3,"Farming, Locksmith","Honestly, more people should have this GMed than actually do. It's a fairly fast crop once you have the T10 perk, and you can get a lot from opening Grab Bag 01 from the forest pond. Sacrifice them at the Temple, or send to Holger for friendship xp.",,,,,,King Mastery Sheet,181
Purple Diary,3,Crafting,"If you take some time in Highland Hills you can work on both green/purple parchments and diaries. You'll just need to get some extra paste and feathers occassionally to keep up, but it's relatively low effort and fairly quick.",,,,,,King Mastery Sheet,188
Purple Parchment,3,Crafting,Pretty easy GM. A step on the path to diary GMs while exploring HH.,,,,,,King Mastery Sheet,190
Red Dye,3,Crafting,"Pretty simple WC mastery. I would turn them into Red Shield first, then Red Trunk as you work on oak masteries, then back to Red Shield for the silver.",,,,,,King Mastery Sheet,196
Red Parchment,3,Crafting,"Slightly harder than Red Dye, and less uses. But it's easy.",,,,,,King Mastery Sheet,197
Steel Buckle,3,Crafting,"Pretty cheap. Great to make while working on Hammer mastery, and always turn these into Leather Belt if you can. There's also a decent amount needed for quests.",,,,,,King Mastery Sheet,256
Strong Paste,3,,,,,,,,Missing from mastery_difficulty,
Wooden Bow,3,Crafting,Good to work on while exploring in Misty Forest. Needs lots of Wood.,,,,,,King Mastery Sheet,285
Yellow Bag,3,,,,,,,,Missing from mastery_difficulty,
Yellow Purse,3,Crafting,Swamp,,,,,,Missing from mastery_difficulty,
Yellow Scarf,3,,,,,,,,Missing from mastery_difficulty,
Yellow Twine,3,Crafting,Swamp,,,,,,Missing from mastery_difficulty,
Orange Dye,3,,,,,,,,Missing from mastery_difficulty,
Basic Pillow,4,,,,,,,,Missing from mastery_difficulty,
Bone Pickaxe,4,Crafting,"A bit costly to explore for all the Bone you will need, Small Cave holds all of the resources needed.",,,,,,King Mastery Sheet,296
Giant Squid,4,Fishing,"Slow Vast Ocean GM... But at the end of the day it's still just tossing nets, so low effort.",,,,,,King Mastery Sheet,94
Glass Jar,4,Crafting,,,,,,,King Mastery Sheet,96
Handsaw,4,Crafting,"Requires a good bit of paste, but otherwise cheap.",,,,,,King Mastery Sheet,117
Jade Charm,4,Crafting,"Definitely try to craft these with mastery bonuses on, Mushroom Stew and an event bonus if possible. Also do your best to sell these during events, especially with IOTD bonus an Shrimp-a-Plenty. Production is almost entirely trhough pets, so will be very slow.",,,,,,King Mastery Sheet,129
Large Net,4,"Crafting, Quests","Daily production from Raptor Pen, exploring Forest, and quests are your friend. Large Net are life.",,,,,,King Mastery Sheet,135
Mystic Ring,4,Crafting,"The most annoying ring, because it takes 2 different gems, and 3x Mushroom Paste. Still fairly easy compared to some masteries though.",,,,,,King Mastery Sheet,160
