quest_key,requirement_type,item_name,canonical_key,quantity,source_url,notes
"10,000 players!",item,Peppers,peppers,1,https://buddy.farm/i/peppers/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/peppers/; Page data: https://buddy.farm/page-data/i/peppers/page-data.json; Cache: peppers__peppers.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 52; Quest end date: 2021-06-22T04:59:59+00:00
12 days of christmas iii,item,Mushroom,mushroom,20,https://buddy.farm/i/mushroom/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/mushroom/; Page data: https://buddy.farm/page-data/i/mushroom/page-data.json; Cache: mushroom__mushroom.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 631; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iii,item,Orange,orange,10,https://buddy.farm/i/orange/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange/; Page data: https://buddy.farm/page-data/i/orange/page-data.json; Cache: orange__orange.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 631; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iv,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 630; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iv,item,Arrowhead,arrowhead,30,https://buddy.farm/i/arrowhead/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/arrowhead/; Page data: https://buddy.farm/page-data/i/arrowhead/page-data.json; Cache: arrowhead__arrowhead.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 630; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iv,item,Axe,axe,40,https://buddy.farm/i/axe/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/axe/; Page data: https://buddy.farm/page-data/i/axe/page-data.json; Cache: axe__axe.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 630; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iv,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 630; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iv,item,Mushroom,mushroom,20,https://buddy.farm/i/mushroom/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/mushroom/; Page data: https://buddy.farm/page-data/i/mushroom/page-data.json; Cache: mushroom__mushroom.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 630; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iv,item,Orange,orange,10,https://buddy.farm/i/orange/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange/; Page data: https://buddy.farm/page-data/i/orange/page-data.json; Cache: orange__orange.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 630; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Aquamarine Ring,aquamarine ring,50,https://buddy.farm/i/aquamarine-ring/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/aquamarine-ring/; Page data: https://buddy.farm/page-data/i/aquamarine-ring/page-data.json; Cache: aquamarine-ring__aquamarine-ring.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Arrowhead,arrowhead,30,https://buddy.farm/i/arrowhead/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/arrowhead/; Page data: https://buddy.farm/page-data/i/arrowhead/page-data.json; Cache: arrowhead__arrowhead.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Axe,axe,40,https://buddy.farm/i/axe/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/axe/; Page data: https://buddy.farm/page-data/i/axe/page-data.json; Cache: axe__axe.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Bird Egg,bird egg,60,https://buddy.farm/i/bird-egg/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/bird-egg/; Page data: https://buddy.farm/page-data/i/bird-egg/page-data.json; Cache: bird-egg__bird-egg.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Coin Purse,coin purse,70,https://buddy.farm/i/coin-purse/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/coin-purse/; Page data: https://buddy.farm/page-data/i/coin-purse/page-data.json; Cache: coin-purse__coin-purse.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Milk,milk,80,https://buddy.farm/i/milk/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/milk/; Page data: https://buddy.farm/page-data/i/milk/page-data.json; Cache: milk__milk.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Mushroom,mushroom,20,https://buddy.farm/i/mushroom/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/mushroom/; Page data: https://buddy.farm/page-data/i/mushroom/page-data.json; Cache: mushroom__mushroom.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Orange,orange,10,https://buddy.farm/i/orange/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange/; Page data: https://buddy.farm/page-data/i/orange/page-data.json; Cache: orange__orange.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Purple Flower,purple flower,90,https://buddy.farm/i/purple-flower/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/purple-flower/; Page data: https://buddy.farm/page-data/i/purple-flower/page-data.json; Cache: purple-flower__purple-flower.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas v,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 629; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas v,item,Aquamarine Ring,aquamarine ring,50,https://buddy.farm/i/aquamarine-ring/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/aquamarine-ring/; Page data: https://buddy.farm/page-data/i/aquamarine-ring/page-data.json; Cache: aquamarine-ring__aquamarine-ring.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 629; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas v,item,Arrowhead,arrowhead,30,https://buddy.farm/i/arrowhead/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/arrowhead/; Page data: https://buddy.farm/page-data/i/arrowhead/page-data.json; Cache: arrowhead__arrowhead.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 629; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas v,item,Axe,axe,40,https://buddy.farm/i/axe/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/axe/; Page data: https://buddy.farm/page-data/i/axe/page-data.json; Cache: axe__axe.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 629; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas v,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 629; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas v,item,Mushroom,mushroom,20,https://buddy.farm/i/mushroom/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/mushroom/; Page data: https://buddy.farm/page-data/i/mushroom/page-data.json; Cache: mushroom__mushroom.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 629; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas v,item,Orange,orange,10,https://buddy.farm/i/orange/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange/; Page data: https://buddy.farm/page-data/i/orange/page-data.json; Cache: orange__orange.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 629; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 628; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,item,Aquamarine Ring,aquamarine ring,50,https://buddy.farm/i/aquamarine-ring/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/aquamarine-ring/; Page data: https://buddy.farm/page-data/i/aquamarine-ring/page-data.json; Cache: aquamarine-ring__aquamarine-ring.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 628; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,item,Arrowhead,arrowhead,30,https://buddy.farm/i/arrowhead/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/arrowhead/; Page data: https://buddy.farm/page-data/i/arrowhead/page-data.json; Cache: arrowhead__arrowhead.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 628; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,item,Axe,axe,40,https://buddy.farm/i/axe/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/axe/; Page data: https://buddy.farm/page-data/i/axe/page-data.json; Cache: axe__axe.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 628; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,item,Bird Egg,bird egg,60,https://buddy.farm/i/bird-egg/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/bird-egg/; Page data: https://buddy.farm/page-data/i/bird-egg/page-data.json; Cache: bird-egg__bird-egg.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 628; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 628; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,item,Mushroom,mushroom,20,https://buddy.farm/i/mushroom/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/mushroom/; Page data: https://buddy.farm/page-data/i/mushroom/page-data.json; Cache: mushroom__mushroom.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 628; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,item,Orange,orange,10,https://buddy.farm/i/orange/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange/; Page data: https://buddy.farm/page-data/i/orange/page-data.json; Cache: orange__orange.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 628; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Aquamarine Ring,aquamarine ring,50,https://buddy.farm/i/aquamarine-ring/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/aquamarine-ring/; Page data: https://buddy.farm/page-data/i/aquamarine-ring/page-data.json; Cache: aquamarine-ring__aquamarine-ring.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Arrowhead,arrowhead,30,https://buddy.farm/i/arrowhead/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/arrowhead/; Page data: https://buddy.farm/page-data/i/arrowhead/page-data.json; Cache: arrowhead__arrowhead.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Axe,axe,40,https://buddy.farm/i/axe/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/axe/; Page data: https://buddy.farm/page-data/i/axe/page-data.json; Cache: axe__axe.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Bird Egg,bird egg,60,https://buddy.farm/i/bird-egg/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/bird-egg/; Page data: https://buddy.farm/page-data/i/bird-egg/page-data.json; Cache: bird-egg__bird-egg.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Coin Purse,coin purse,70,https://buddy.farm/i/coin-purse/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/coin-purse/; Page data: https://buddy.farm/page-data/i/coin-purse/page-data.json; Cache: coin-purse__coin-purse.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Mushroom,mushroom,20,https://buddy.farm/i/mushroom/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/mushroom/; Page data: https://buddy.farm/page-data/i/mushroom/page-data.json; Cache: mushroom__mushroom.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Orange,orange,10,https://buddy.farm/i/orange/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange/; Page data: https://buddy.farm/page-data/i/orange/page-data.json; Cache: orange__orange.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Aquamarine Ring,aquamarine ring,50,https://buddy.farm/i/aquamarine-ring/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/aquamarine-ring/; Page data: https://buddy.farm/page-data/i/aquamarine-ring/page-data.json; Cache: aquamarine-ring__aquamarine-ring.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Arrowhead,arrowhead,30,https://buddy.farm/i/arrowhead/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/arrowhead/; Page data: https://buddy.farm/page-data/i/arrowhead/page-data.json; Cache: arrowhead__arrowhead.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Axe,axe,40,https://buddy.farm/i/axe/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/axe/; Page data: https://buddy.farm/page-data/i/axe/page-data.json; Cache: axe__axe.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Bird Egg,bird egg,60,https://buddy.farm/i/bird-egg/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/bird-egg/; Page data: https://buddy.farm/page-data/i/bird-egg/page-data.json; Cache: bird-egg__bird-egg.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Coin Purse,coin purse,70,https://buddy.farm/i/coin-purse/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/coin-purse/; Page data: https://buddy.farm/page-data/i/coin-purse/page-data.json; Cache: coin-purse__coin-purse.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Milk,milk,80,https://buddy.farm/i/milk/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/milk/; Page data: https://buddy.farm/page-data/i/milk/page-data.json; Cache: milk__milk.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Mushroom,mushroom,20,https://buddy.farm/i/mushroom/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/mushroom/; Page data: https://buddy.farm/page-data/i/mushroom/page-data.json; Cache: mushroom__mushroom.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,item,Orange,orange,10,https://buddy.farm/i/orange/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange/; Page data: https://buddy.farm/page-data/i/orange/page-data.json; Cache: orange__orange.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 626; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas x,item,Apple,apple,10,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 624; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas x,item,Aquamarine Ring,aquamarine ring,50,https://buddy.farm/i/aquamarine-ring/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/aquamarine-ring/; Page data: https://buddy.farm/page-data/i/aquamarine-ring/page-data.json; Cache: aquamarine-ring__aquamarine-ring.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 624; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas x,item,Arrowhead,arrowhead,30,https://buddy.farm/i/arrowhead/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/arrowhead/; Page data: https://buddy.farm/page-data/i/arrowhead/page-data.json; Cache: arrowhead__arrowhead.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 624; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas x,item,Axe,axe,40,https://buddy.farm/i/axe/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/axe/; Page data: https://buddy.farm/page-data/i/axe/page-data.json; Cache: axe__axe.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 624; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas x,item,Bird Egg,bird egg,60,https://buddy.farm/i/bird-egg/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/bird-egg/; Page data: https://buddy.farm/page-data/i/bird-egg/page-data.json; Cache: bird-egg__bird-egg.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 624; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas x,item,Coin Purse,coin purse,70,https://buddy.farm/i/coin-purse/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/coin-purse/; Page data: https://buddy.farm/page-data/i/coin-purse/page-data.json; Cache: coin-purse__coin-purse.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 624; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas x,item,Flier,flier,100,https://buddy.farm/i/flier/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/flier/; Page data: https://buddy.farm/page-data/i/flier/page-data.json; Cache: flier__flier.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 624; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas x,item,Lemon,lemon,10,https://buddy.farm/i/lemon/,Promoted from complete cached Buddy item-page requirement evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon/; Page data: https://buddy.farm/page-data/i/lemon/page-data.json; Cache: lemon__lemon.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 624; Quest end date: 2026-01-04T05:59:59+00:00
